"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.43889543753426e-59,0.753616166271486,0.995,0.947,3.57274991142463e-54,"0","Mybpc3"
7.22596692948269e-58,0.644245644299276,0.997,0.939,4.00947227016206e-53,"0","Hspb6"
4.79795756863676e-55,0.918521932671894,0.997,0.989,2.66224271610948e-50,"0","Ttn"
4.30814558867301e-54,0.648808600147793,0.984,0.895,2.390460742787e-49,"0","Ldb3"
5.1562789722418e-54,0.649202733359634,0.987,0.987,2.8610645133278e-49,"0","Atp2a2"
9.03096096924811e-54,0.688350977087948,1,0.943,5.0110093130067e-49,"0","Hspb7"
2.52372031107782e-47,0.734653782266504,1,0.901,1.40033668900775e-42,"0","Acta1"
8.42490794367451e-41,0.744162342062532,0.97,0.84,4.67472867070667e-36,"0","Ptgds"
1.9771762731337e-36,0.879145824147592,0.879,0.748,1.0970757986737e-31,"0","Myh7"
4.46656836761233e-27,0.663921191155262,0.854,0.739,2.47836479013705e-22,"0","Nrap"
2.33674605024055e-191,2.33739900352258,0.951,0.228,1.29659028089697e-186,"1","Sprr1a"
2.45386666027984e-156,2.19005315827672,0.974,0.491,1.36157699378947e-151,"1","Nmrk2"
6.15541410246723e-155,2.07214755729124,1,0.898,3.41545462303599e-150,"1","Nppa"
1.49096464125839e-144,1.77895799560832,1,0.911,8.27291550495045e-140,"1","Xirp2"
1.96216471401393e-124,1.60851427159264,1,0.951,1.08874633486491e-119,"1","Ankrd1"
3.0992465292065e-121,1.38083512295632,1,0.941,1.71967892166081e-116,"1","Clu"
3.75026942991074e-114,1.53336967395168,0.991,0.883,2.08091199857457e-109,"1","Fhl1"
6.89484400447265e-109,1.50002260934214,0.997,0.875,3.82574209276174e-104,"1","Nppb"
1.07632999499083e-103,1.4509673341445,0.988,0.706,5.97223224320563e-99,"1","Rcan1"
1.66741060857382e-77,1.6756056246793,1,0.902,9.25196124379354e-73,"1","Acta1"
1.16996244724022e-47,0.60911869742038,1,0.98,6.49177063100181e-43,"2","Cd36"
2.72910974268908e-40,0.61134592094336,0.996,0.868,1.51430112292589e-35,"2","Ly6c1"
3.77835701410252e-38,0.610501383166302,0.996,0.855,2.09649695641506e-33,"2","Adprhl1"
5.63802952035019e-36,0.59326647078592,0.996,0.929,3.12837343995671e-31,"2","Acaa2"
1.0559684900324e-34,0.545354945537896,0.992,0.9,5.85925236064277e-30,"2","Acadm"
1.31634651187399e-31,0.536577090369649,0.996,0.986,7.30401189043519e-27,"2","Atp2a2"
2.04112390934127e-31,0.528200525592624,1,0.956,1.13255842357619e-26,"2","Idh2"
7.3599080634718e-31,0.530917470011569,1,0.972,4.0837921871786e-26,"2","Ech1"
1.86127257355493e-30,0.537109258798217,0.996,0.96,1.03276431288843e-25,"2","Tcap"
1.61055431232931e-28,0.591733909268273,0.992,0.844,8.93648271282163e-24,"2","Ptgds"
7.00224891422901e-107,1.91429867824436,0.996,0.857,3.88533785503825e-102,"3","Cav1"
1.70203029030035e-90,1.6314595360339,0.996,0.868,9.44405547178953e-86,"3","Ly6c1"
1.71762649465091e-90,1.68371968179216,1,0.966,9.53059413086953e-86,"3","Fabp4"
5.33372025319845e-88,1.37752965776696,0.969,0.637,2.95952135689222e-83,"3","Cav2"
2.08246265790868e-85,1.32532340392962,0.977,0.64,1.15549605499379e-80,"3","Tspan13"
2.05207503865563e-82,1.53707353970828,0.984,0.818,1.13863487669885e-77,"3","Gpihbp1"
1.10423271328393e-81,1.43292368265807,0.988,0.778,6.12705605619854e-77,"3","Cavin2"
1.56834736938924e-79,1.33505258857474,0.922,0.512,8.70228904853007e-75,"3","Cd300lg"
2.32516443761799e-74,1.34959814523483,0.988,0.818,1.29016399150109e-69,"3","Tspan7"
4.32389782455196e-50,1.73088045553563,0.863,0.549,2.39920118590914e-45,"3","Aqp1"
1.46441287866657e-134,3.50298865801866,0.988,0.549,8.12558773985719e-130,"4","Col3a1"
9.6574007210649e-134,3.23799792829505,1,0.936,5.35860193809728e-129,"4","Sparc"
5.15294790777903e-128,3.39090729151375,0.992,0.694,2.85921620558935e-123,"4","Fstl1"
1.4815236509832e-126,3.44894885950209,0.992,0.841,8.2205302822105e-122,"4","Bgn"
1.37934759231011e-125,3.57009602803308,0.992,0.659,7.65358598545108e-121,"4","Mfap5"
1.74433356617792e-122,3.40931220380607,1,0.953,9.67878365865141e-118,"4","Dcn"
3.73857217405982e-121,3.31245680061413,0.996,0.909,2.07442154222057e-116,"4","Mgp"
2.47152125561713e-120,3.3534860588392,0.973,0.547,1.37137299910428e-115,"4","Aspn"
1.25334917077559e-117,3.71381884806377,0.965,0.567,6.95445854388254e-113,"4","Postn"
1.10741977457839e-102,3.27059084333275,0.996,0.8,6.14474010320311e-98,"4","Hbb-bs"
8.27547597075585e-50,0.7697114905707,1,0.973,4.5918133518933e-45,"5","Ech1"
8.3444850683726e-50,0.835238025024021,1,0.942,4.63010442988791e-45,"5","Sdha"
5.3551158337411e-48,0.773578048883935,1,0.931,2.97139312266793e-43,"5","Acaa2"
3.28292067021453e-45,0.931413121242542,1,0.968,1.82159419228194e-40,"5","Myh6"
5.01428999557447e-42,0.836293845597313,1,0.854,2.78227908984441e-37,"5","Pygm"
2.18408062918173e-40,0.773072686316556,0.966,0.801,1.21188081871406e-35,"5","Acadvl"
2.72106124722359e-38,0.767634641850956,0.985,0.836,1.50983525424695e-33,"5","Pdk2"
3.29844817085071e-37,0.862383516086132,0.971,0.843,1.83020993655994e-32,"5","Acsl1"
7.52239878048123e-36,0.790120689144424,0.995,0.879,4.17395341132562e-31,"5","Aco2"
3.46478214782726e-21,0.949246147291918,0.961,0.761,1.92250367036491e-16,"5","Pdk4"
1.15703252388505e-68,1.72929123917584,0.994,0.777,6.42002636528099e-64,"6","Serping1"
6.13039218914738e-63,1.55518478023863,1,0.954,3.4015707139922e-58,"6","Dcn"
1.09560032479011e-61,1.53056852928459,0.983,0.686,6.07915752216287e-57,"6","Lum"
3.39988801457521e-50,1.13508882352002,0.858,0.364,1.88649586264734e-45,"6","Olfml3"
4.13394363221093e-49,1.1758588882116,0.994,0.846,2.29380130320488e-44,"6","Bgn"
5.94455724930658e-45,1.13136743293018,0.994,0.912,3.29845648092274e-40,"6","Mgp"
8.42210749086356e-41,1.03952111359418,0.858,0.444,4.67317478345546e-36,"6","Htra3"
7.74304646378457e-37,1.18933288876077,0.841,0.493,4.29638419136014e-32,"6","Smoc2"
3.10816515103535e-31,1.76951785782487,0.955,0.831,1.72462759735499e-26,"6","Gsn"
3.90524843527847e-29,1.07216063555781,0.795,0.467,2.16690519928296e-24,"6","Mfap4"
4.68959747090658e-66,0.95845040037232,1,0.997,2.60211694868194e-61,"7","Tnni3"
9.72590548810893e-63,1.03866322571449,1,0.973,5.396613178187e-58,"7","Ech1"
4.24343440863493e-36,0.790934061941503,0.949,0.983,2.35455445031927e-31,"7","Atp5e"
3.34201831433202e-34,1.35510042433106,0.931,0.957,1.85438570207341e-29,"7","Cox5a"
1.28921822125213e-32,0.773329346719374,0.989,0.969,7.15348514426168e-28,"7","Myh6"
4.56179016340665e-31,0.744686116662141,0.96,0.942,2.53120050796945e-26,"7","Chchd10"
5.30032969392889e-31,0.783758788931056,0.994,0.961,2.94099393727032e-26,"7","Tcap"
7.48892790823013e-29,0.756223735376008,0.954,0.953,4.15538142843965e-24,"7","Cox8b"
1.81218310766358e-27,0.88032044957269,1,0.99,1.00552604094929e-22,"7","Ttn"
1.16066156721759e-13,1.00302109431858,0.737,0.603,6.44016283802024e-09,"7","Tmem143"
1.4326708072771e-112,4.36795027600095,1,0.329,7.94946050833842e-108,"8","Ctss"
1.84588255176964e-112,3.84046339236993,0.942,0.228,1.02422485150042e-107,"8","Ms4a7"
1.41496532183659e-101,3.91292354978377,1,0.404,7.85121808127467e-97,"8","Tyrobp"
2.85197717832154e-100,3.93606350448342,0.993,0.397,1.58247657693527e-95,"8","Fcer1g"
2.2557722940194e-89,3.83050441004767,0.971,0.365,1.25166037278254e-84,"8","H2-Eb1"
1.83933296054266e-82,4.35257224167117,0.978,0.469,1.0205906798163e-77,"8","H2-Ab1"
3.89440202253831e-79,3.92135888533597,0.986,0.591,2.16088685024583e-74,"8","C1qb"
1.21127385820037e-78,4.1197952132582,0.993,0.733,6.7209952569964e-74,"8","Lyz2"
3.6099625131088e-78,4.62053384747152,1,0.748,2.00305989964868e-73,"8","Cd74"
4.00440036580317e-75,4.6717430832825,0.971,0.519,2.2219216309732e-70,"8","H2-Aa"
6.0124711443833e-75,2.16574987905062,0.929,0.254,3.33613986388396e-70,"9","Cd68"
7.07402715051395e-58,2.08580877183057,0.964,0.396,3.92516544500567e-53,"9","C1qc"
9.45671413246913e-57,2.63663793483179,1,0.736,5.24724697068315e-52,"9","Lyz2"
7.05633970004305e-52,2.39053447178018,0.92,0.416,3.91535120936288e-47,"9","Pf4"
7.30669681087503e-50,2.35875492802395,0.946,0.597,4.05426685945023e-45,"9","C1qb"
1.14057608783143e-48,3.03706024861492,0.804,0.284,6.32871453855023e-44,"9","F13a1"
1.165654492861e-47,2.88683771673641,0.875,0.371,6.46786708453781e-43,"9","Ccl6"
9.84326530679442e-46,2.63713142431923,0.884,0.353,5.46173262078102e-41,"9","Wfdc17"
4.56827701196952e-45,2.43633410791514,0.75,0.257,2.53479986563153e-40,"9","Cbr2"
4.51133708864186e-22,2.67773834417442,0.661,0.309,2.50320561037471e-17,"9","Ccl8"
2.81066772890977e-39,3.37650541878142,0.914,0.177,1.55955520274016e-34,"10","Cytl1"
3.81771668290354e-22,2.7081932870658,1,0.61,2.11833645584269e-17,"10","Emcn"
1.16456365491624e-19,2.07338243013524,0.971,0.489,6.46181435203374e-15,"10","Ece1"
7.50040322075884e-19,2.95046435571433,1,0.841,4.16174873510246e-14,"10","Tm4sf1"
6.44172203740254e-17,2.05293453896346,0.971,0.602,3.57431830689354e-12,"10","Cd9"
1.08790311780117e-16,2.39988319046429,0.914,0.52,6.03644802974334e-12,"10","Cfh"
1.69045789785518e-14,1.96396679567491,0.971,0.632,9.37984373782901e-10,"10","Eng"
7.54766911667081e-12,2.08346569035908,0.771,0.345,4.18797516276713e-07,"10","Vcam1"
1.74177752116256e-10,2.08983010448889,0.486,0.141,9.66460093167472e-06,"10","H19"
8.29600887158378e-10,3.22745002526516,0.8,0.421,4.60320644257569e-05,"10","Igfbp5"
4.90423800623921e-66,3.98195676460901,1,0.044,2.72121454252195e-61,"11","Msln"
1.20541497997834e-64,3.88652325728178,1,0.045,6.68848609940584e-60,"11","Nkain4"
2.78197686308411e-53,4.4504389518175,1,0.057,1.54363550201948e-48,"11","Upk3b"
3.71918708554795e-42,3.8602458130664,1,0.076,2.06366533815799e-37,"11","Gpm6a"
4.6921969000413e-26,3.5403741908103,1,0.139,2.60355929392592e-21,"11","Cldn15"
2.93949396706233e-20,4.17019383493752,1,0.191,1.63103701750388e-15,"11","Efemp1"
1.0006289350924e-12,4.28223416088875,1,0.421,5.55218977214719e-08,"11","Igfbp6"
6.37622287320766e-12,3.95048576665644,1,0.506,3.53797478565673e-07,"11","Rarres2"
1.30749552668683e-11,4.20937118694349,1,0.481,7.2549004289272e-07,"11","C3"
1.58822239040836e-11,3.72295551959205,1,0.423,8.81256957765888e-07,"11","Igfbp5"
