"Sample","Disease","NDUFB7","Ferroptosis_Score"
"GSM1379812","DCM",8.305759761,-0.170916366979507
"GSM1379813","ICM",7.895386772,-0.462886873127005
"GSM1379814","ICM",7.914185696,-0.613987780631995
"GSM1379815","ICM",6.616121839,2.64996961981355
"GSM1379816","DCM",7.499801231,0.21593572554398
"GSM1379817","DCM",7.74735325,-0.444239432809759
"GSM1379818","DCM",8.053722215,0.254058376107793
"GSM1379819","ICM",7.960013901,0.0519934199363269
"GSM1379820","DCM",8.328664285,-0.511394907024856
"GSM1379821","ICM",8.154379621,-0.25586573905665
"GSM1379822","ICM",7.56551103,-0.22180538020477
"GSM1379823","ICM",7.970809652,-0.00301982190002173
"GSM1379824","ICM",8.304608727,0.0065769844353588
"GSM1379825","ICM",7.839760557,-0.0954678504900156
"GSM1379826","ICM",7.665980597,0.0255171940088189
"GSM1379827","DCM",7.792252562,-0.430424275517937
"GSM1379828","ICM",8.017981161,-0.36455995339084
"GSM1379829","ICM",7.601362394,-0.336669405211083
"GSM1379879","DCM",8.055956537,-0.0358620507117955
"GSM1379916","DCM",8.250565377,-0.307887194186749
"GSM1379917","DCM",7.648051711,-0.17474058149254
"GSM1379928","ICM",7.804816764,0.545855317031063
"GSM1379929","DCM",8.097997327,0.604132509856465
"GSM1379930","ICM",8.373490224,0.295652533290773
"GSM1379931","DCM",7.716849841,-0.317145279027907
"GSM1379932","DCM",7.71732732,-0.381645715303342
"GSM1379933","ICM",7.702231998,0.478376188509358
"GSM1379934","DCM",7.851637036,-0.693296568999595
"GSM1379935","DCM",7.690254651,-0.381860322269527
"GSM1379936","DCM",8.003913225,-0.577447688237198
"GSM1379937","DCM",7.722333322,-0.349313769300527
"GSM1379938","ICM",7.350713899,0.485463926135153
"GSM1379939","DCM",7.80719251,-0.0477238313616216
"GSM1379940","DCM",7.973474957,0.00628706840751143
"GSM1379941","DCM",8.07672462,0.143418896392942
"GSM1379942","DCM",7.721752847,-0.0961468748163039
"GSM1379943","ICM",8.035669065,-0.125515634722139
"GSM1379944","DCM",7.768467391,-0.178880574959922
"GSM1379945","ICM",7.845508467,-0.436429755324321
"GSM1379946","ICM",7.637357217,1.1075840923206
"GSM1379947","DCM",7.876690304,0.377711524056516
"GSM1379948","ICM",7.502120291,-0.359360915019306
"GSM1379949","ICM",7.728536888,-0.28782050112567
"GSM1379950","DCM",8.036186524,0.152607003916079
"GSM1379951","ICM",7.247095259,1.02688051298837
"GSM1379952","ICM",7.389131197,0.915762352726949
"GSM1379953","ICM",7.971769722,0.359233081785327
"GSM1379954","DCM",7.756020644,-0.450371799960299
"GSM1379955","DCM",8.258996362,-0.217129166631168
"GSM1379956","DCM",7.848080535,-0.575600634501448
"GSM1379957","DCM",7.885349638,-0.418995483683203
"GSM1379958","ICM",8.087557817,-0.588939102415637
"GSM1379959","ICM",8.049895897,0.487511905821991
"GSM1379960","ICM",8.018842914,-0.507687730121995
"GSM1379963","DCM",8.0068001,0.511229617624782
"GSM1379964","ICM",8.192246877,-0.0323192617935695
"GSM1379992","ICM",7.808061577,-0.0603688267415348
"GSM1379993","DCM",7.151467994,0.218501897595041
"GSM1379994","DCM",7.771603158,-0.299382505553923
"GSM1379995","DCM",7.802796258,-0.571839570349008
"GSM1379996","DCM",7.587104844,1.15603375117094
"GSM1379997","ICM",7.837534549,-0.0576421898157165
"GSM1379998","ICM",7.873661979,-0.206367236760367
"GSM1379999","ICM",7.805986765,0.19539211926721
"GSM1380000","ICM",8.08970196,0.277828439949118
"GSM1380001","ICM",7.870877563,0.2439564213031
"GSM1380002","ICM",8.167888819,-0.0320912066960539
"GSM1380003","DCM",8.484510115,-0.306146018655334
"GSM1380004","ICM",8.203569765,-0.264982885440307
"GSM1380005","ICM",8.195339755,-0.197678296370816
"GSM1380006","DCM",8.026328573,-0.164822195863131
"GSM1380007","ICM",7.845592142,-0.0414095738643064
"GSM1380009","DCM",7.923462649,-0.465502032262393
"GSM1380016","DCM",8.383937923,-0.725414450206776
"GSM1380017","DCM",7.807816167,-0.17156067259765
"GSM1380018","ICM",7.312233511,1.71695080313685
"GSM1380019","ICM",7.91379417,-0.335737689514068
"GSM1380020","DCM",8.098520141,-0.250649828047133
"GSM1380022","DCM",7.981365211,-0.0608359338265328
"GSM1380023","DCM",7.847506237,0.423494158682058
"GSM1380024","ICM",8.311739314,-0.389269766705007
"GSM1380025","DCM",7.99365409,-0.502004560387884
"GSM1380026","DCM",8.393864701,-0.289047464580628
"GSM1380028","DCM",7.959872586,-0.188027283997872
"GSM1380029","DCM",8.02498007,-0.201995576741651
"GSM1380030","ICM",8.063207215,-0.287998611153286
"GSM1380031","DCM",8.073328275,-0.207541370481615
"GSM1380032","DCM",8.260458082,-0.480843979886663
"GSM1380033","DCM",8.003495165,-0.58839184011342
"GSM1380034","DCM",7.703373432,-0.403507082657244
"GSM1380035","DCM",7.972702982,-0.294994884229319
"GSM1380036","DCM",7.765652436,-0.0528792096837171
"GSM1380037","DCM",7.789730704,-0.313236298084075
"GSM1380038","DCM",7.844304361,-1.08717842121226
"GSM1380039","DCM",8.144444179,-0.271149760442222
"GSM1380040","ICM",8.132376841,-0.414913751009344
"GSM1380041","ICM",7.387178194,0.82645123004714
"GSM1380042","ICM",8.07140952,0.0573821103921961
"GSM1380043","ICM",7.631532855,-0.00324583681213654
"GSM1380044","ICM",7.761470868,-0.442100704184574
"GSM1380045","ICM",7.939197362,-0.950285446984819
"GSM1380046","DCM",7.656191093,-0.304609821608967
"GSM1380047","ICM",7.954765574,0.121188955920284
"GSM1380048","DCM",8.52197086,-0.374648876832554
"GSM1380049","ICM",8.113664001,-0.173666098575051
"GSM1380050","DCM",8.417756623,-0.630207772845899
"GSM1380051","ICM",7.510772817,0.266004180289501
"GSM1380052","ICM",8.083296167,-0.579927637558659
"GSM1380053","DCM",7.931660916,-0.465144739145155
"GSM1380054","ICM",8.018395674,-0.446639109588724
"GSM1380055","ICM",8.171361302,-0.258256093265694
"GSM1380056","DCM",8.118798845,-0.392313002374182
"GSM1380057","ICM",8.073272004,-0.668210679839157
"GSM1380058","DCM",7.421005992,0.455132640199393
"GSM1380059","DCM",8.091584384,-0.0755084134372265
"GSM1380060","ICM",7.695366224,-0.522277178048738
"GSM1380061","ICM",7.978139652,0.0695092082279057
"GSM1380062","DCM",7.998255288,-0.606458754867707
"GSM1380063","ICM",7.750069518,-0.298621537892159
"GSM1380064","ICM",7.81296798,-0.0792151038670594
"GSM1380065","ICM",8.228294683,-0.14145018959873
"GSM1380066","ICM",7.871971046,-0.131389058916043
"GSM1380067","ICM",7.812643289,-0.224133370553455
"GSM1380068","DCM",7.974705445,-0.253382658077319
"GSM1380069","ICM",7.383679778,0.0179824916218676
"GSM1380070","ICM",7.702607137,-0.540800339822013
"GSM1380071","ICM",7.926068825,-0.480270012100381
"GSM1380072","DCM",7.88334492,0.0609852427592117
"GSM1380073","DCM",7.924187137,-0.301712070114213
"GSM1380074","ICM",7.55459431,0.630603574590588
"GSM1380075","DCM",8.149531908,-0.617689674025939
"GSM1380076","ICM",8.33129684,-0.860076022453368
"GSM1380077","DCM",7.701793494,-0.353436208262149
"GSM1380078","DCM",7.708240536,-0.611786644460564
"GSM1380079","ICM",8.181314765,-0.421855371873773
"GSM1380080","DCM",7.968320802,-0.352277789776505
"GSM1380081","ICM",7.92848399,0.0817121459151899
"GSM1380082","DCM",7.747739868,-0.513925254009788
"GSM1380083","DCM",8.100876243,-0.423469275237976
"GSM1380084","DCM",8.04257549,-0.632059103368888
"GSM1380085","DCM",8.046445775,-0.336839786076031
"GSM1380086","ICM",7.955099346,-0.151690253931354
"GSM1380087","ICM",7.525105239,0.101477671101989
"GSM1380088","DCM",8.041464632,-0.70656442300149
"GSM1380089","ICM",7.762895032,-0.152267278062402
"GSM1380090","ICM",7.877874576,-0.279472914189573
"GSM1380091","ICM",8.106474212,-0.551176802275211
"GSM1380092","ICM",7.68395919,-0.498224162491216
"GSM1380093","ICM",7.866155584,0.509136589818571
"GSM1380094","DCM",7.961101321,0.0684470840739784
"GSM1380095","DCM",7.711473358,0.0331536606398286
"GSM1380096","DCM",8.489647609,0.206931559356774
"GSM1380097","ICM",7.726708424,-0.244366287028206
"GSM1380098","DCM",8.008743406,-0.492687134773726
"GSM1380099","DCM",7.9996977,-0.157438157641822
"GSM1380100","ICM",8.004017659,-0.105364838350088
"GSM1380101","ICM",7.799807421,0.330531792679515
"GSM1380102","DCM",8.392657824,-0.360051097307777
"GSM1380103","DCM",7.824615746,0.278175536723897
"GSM1380104","ICM",7.997832069,-0.321476058311772
"GSM1380105","ICM",7.981676567,-0.340737236180017
"GSM1380106","ICM",7.88518799,-0.00344094812888177
"GSM1380107","ICM",7.950138855,-0.460565118110244
"GSM1380108","ICM",7.743029366,-0.0213556037295064
"GSM1380109","ICM",7.985867615,-0.198658592935044
"GSM1380110","ICM",7.818656711,-0.501324733147628
"GSM1380111","ICM",7.558468754,0.0586652935831405
"GSM1380112","ICM",7.683389261,-0.00456250734859076
"GSM1380113","ICM",7.813077478,-0.653581086329319
"GSM1380114","ICM",8.225612082,-0.130007143829083
"GSM1380115","ICM",7.451171555,-0.0698414909682333
"GSM1380116","ICM",7.317443243,0.150467145119432
"GSM1380117","ICM",7.26262266,0.0891538242856797
"GSM1380118","DCM",7.549363157,-0.320300212778614
"GSM1380119","ICM",7.950762833,-0.190474403255732
"GSM1380120","ICM",7.923720177,-0.175439026560319
"GSM1380121","DCM",8.17981331,-0.282257490890038
